id,name,weight,version_count,is_expansion,reimplements,has_versions
251661,Oathsworn: Into the Deepwood,3.6792,7,False,False,True
356080,The Elder Scrolls: Betrayal of the Second Era,3.9903,10,False,False,True
391137,Galactic Cruise,3.9087,8,False,False,True
219650,Arydia: The Paths We Dare Tread,3.2796,2,False,False,True
242705,Aeon Trespass: Odyssey,4.7546,2,False,False,True
345976,System Gateway (fan expansion for Android: Netrunner),3.4737,13,False,False,True
422541,Star Trek: Captain's Chair,4.0,3,False,False,True
367527,Fields of Fire: Deluxe Edition,4.6667,2,False,True,True
