id,name,weight,is_expansion,reimplements,has_versions,n_versions
295564,Unmatched Game System,3.2796,False,False,True,2
284777,Unmatched: Jurassic Park – InGen vs Raptors,3.2796,False,False,True,2
130960,Triumph & Tragedy: European Balance of Power 1936-1945,3.2796,False,False,True,2
281655,High Frontier 4 All,3.2796,False,False,True,2
286063,The 7th Citadel,3.2796,False,False,True,2
341945,La Granja: Deluxe Master Set,3.2796,False,False,True,2
354570,Undaunted: Stalingrad,3.2796,False,False,True,2
436126,Finspan,3.2796,False,False,True,2
29603,D-Day at Omaha Beach,3.2796,False,False,True,2
11825,Empire of the Sun: The Pacific War 1941-1945,3.2796,False,False,True,2
227460,Hannibal & Hamilcar,3.2796,False,False,True,2
313889,Hoplomachus: Victorum,3.2796,False,False,True,2
404431,Men-Nefer,3.2796,False,False,True,2
267609,Guards of Atlantis II,3.2796,False,False,True,2
371433,Terrorscape,3.2796,False,False,True,2
358320,Sleeping Gods: Distant Skies,3.2796,False,False,True,2
354544,Unmatched: Houdini vs. The Genie,3.2796,False,False,True,2
326945,Castles of Mad King Ludwig: Collector's Edition,3.2796,False,False,True,2
296345,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,3.2796,False,False,True,2
342444,Black Rose Wars: Rebirth,3.2796,False,False,True,2
303731,Primal: The Awakening,3.2796,False,False,True,2
242722,Here I Stand: 500th Anniversary Edition,3.2796,False,False,True,2
415776,Kingdom Legacy: Feudal Kingdom,3.2796,False,False,True,2
367518,Imperium: Horizons,3.2796,False,False,True,2
380619,Cyclades: Legendary Edition,3.2796,False,False,True,2
284121,Uprising: Curse of the Last Emperor,3.2796,False,False,True,2
299317,Aeon's End: Outcasts,3.2796,False,False,True,2
281526,The Isofarian Guard,3.2796,False,False,True,2
347811,Too Many Bones: Unbreakable,3.2796,False,False,True,2
318472,Blood Bowl: Second Season Edition,3.2796,False,False,True,2
295785,Euthia: Torment of Resurrection,3.2796,False,False,True,2
373600,Cthulhu: Death May Die – Fear of the Unknown,3.2796,False,False,True,2
254127,Europa Universalis: The Price of Power,3.2796,False,False,True,2
345976,System Gateway (fan expansion for Android: Netrunner),3.2796,False,False,True,2
270871,Agemonia,3.2796,False,False,True,2
2397,Backgammon,3.2796,False,False,True,2
268012,Chronicles of Drunagor: Age of Darkness,3.2796,False,False,True,2
434654,Toy Battle,3.2796,False,False,True,2
63170,1817,3.2796,False,False,True,2
393429,Critter Kitchen,3.2796,False,False,True,2
392449,Welcome To...: Collector's Edition,3.2796,False,False,True,2
251747,Atlantic Chase: The Kriegsmarine Against the Home Fleet 1939-1942,3.2796,False,False,True,2
183685,"Mr. President: The American Presidency, 2001-2020",3.2796,False,False,True,2
386166,Santorini: Pantheon Edition,3.2796,False,False,True,2
422541,Star Trek: Captain's Chair,3.2796,False,False,True,2
162009,The U.S. Civil War,3.2796,False,False,True,2
